Wall time,Step,Value
1766883446.5411267,66338,994.0
1766883447.353877,67121,993.0
1766883447.4543982,67221,993.0
1766883447.838308,67584,993.0
1766883449.5274074,69112,991.0
1766883450.0347996,69638,991.0
1766883450.1673024,69771,991.0
1766883450.4563196,70032,991.0
1766883450.6972811,70208,990.0
1766883451.5157187,70884,988.0
1766883454.1150265,72519,976.0
1766883454.4105172,72766,975.0
1766883454.5569444,72919,975.0
1766883454.8488536,73137,974.0
1766883455.1828654,73428,974.0
1766883455.727045,74008,975.0
1766883455.8302705,74112,975.0
1766883456.1987162,74455,974.0
1766883457.2738178,75390,973.0
1766883457.4204054,75514,973.0
1766883458.7888117,76632,970.0
1766883459.121436,76899,969.0
1766883459.4345095,77206,969.0
1766883459.5275524,77277,969.0
1766883459.6655724,77401,969.0
1766883459.8788872,77530,968.0
1766883460.0739367,77727,968.0
1766883460.7341359,78351,968.0
1766883460.9571593,78538,967.0
1766883461.2316556,78788,967.0
1766883461.5903952,79081,967.0
1766883462.019901,79487,967.0
1766883462.1931267,79609,966.0
1766883462.4016268,79742,965.0
1766883462.6378431,79930,965.0
1766883463.5098286,80768,965.0
1766883463.9402583,81174,964.0
1766883464.1407146,81381,965.0
1766883465.0087812,82276,965.0
1766883465.2167943,82405,964.0
1766883465.3489308,82529,964.0
1766883465.813445,82990,965.0
1766883466.198005,83398,965.0
1766883466.2583983,83458,965.0
1766883466.6445131,83865,965.0
1766883466.8346696,84026,965.0
1766883466.997154,84177,965.0
1766883467.1669,84332,965.0
1766883467.3723202,84501,965.0
1766883467.5130312,84584,964.0
1766883467.7933514,84745,963.0
1766883468.0445716,85007,963.0
1766883468.1428518,85092,963.0
1766883468.9975116,85948,963.0
1766883469.1448379,86106,963.0
1766883469.6632116,86645,964.0
1766883469.9201899,86875,964.0
1766883470.7756784,87566,962.0
1766883471.2150927,87945,962.0
1766883471.8516583,88472,961.0
1766883472.1629179,88713,960.0
1766883472.3555381,88876,960.0
1766883472.6134303,89093,960.0
1766883473.147366,89450,958.0
1766883473.670831,89973,958.0
1766883474.0048194,90343,959.0
1766883474.406647,90775,959.0
1766883474.9730544,91333,959.0
1766883476.0995104,92446,960.0
1766883477.4207704,93863,961.0
1766883478.9623377,95360,961.0
1766883479.0780048,95480,961.0
1766883479.4386954,95867,962.0
1766883479.5530026,95996,962.0
1766883479.6755233,96131,962.0
1766883480.0003288,96402,962.0
1766883480.541554,96983,962.0
1766883480.7536087,97216,963.0
1766883481.4377732,97906,963.0
1766883482.2456577,98757,964.0
1766883482.5804524,99109,964.0
1766883483.4191782,99988,965.0
1766883484.1109595,100633,964.0
1766883484.335846,100854,964.0
1766883484.405962,100906,964.0
1766883484.572573,101056,964.0
1766883485.4118118,101963,965.0
1766883485.4669085,102019,965.0
1766883485.832648,102426,966.0
1766883485.9582896,102549,966.0
1766883486.54849,103180,966.0
1766883486.908282,103507,966.0
1766883487.3024805,103856,966.0
1766883487.533136,104090,966.0
1766883487.9988937,104573,966.0
1766883488.1073644,104684,966.0
1766883488.1873925,104747,966.0
1766883488.4029915,104985,966.0
1766883488.5995393,105206,967.0
1766883488.865252,105434,966.0
1766883489.3363435,105894,966.0
1766883489.5966916,106156,967.0
1766883491.2315943,107748,967.0
1766883491.9227333,108346,966.0
1766883492.475838,108821,965.0
1766883492.6479306,108984,965.0
1766883493.2297773,109451,965.0
1766883494.163669,109979,961.0
1766883495.3056304,110488,956.0
1766883496.0157568,111042,955.0
1766883497.368288,112164,954.0
1766883498.5060189,113221,953.0
1766883498.702579,113374,953.0
1766883499.663599,114173,952.0
1766883500.083573,114542,952.0
1766883500.3932607,114846,952.0
1766883500.7771916,115203,952.0
1766883501.203704,115646,952.0
